Country,Clicks,Impressions,CTR,Position
United States,11,1957,0.56%,20.72
United Kingdom,1,114,0.88%,42.59
Canada,0,143,0%,22.59
Australia,0,37,0%,41.59
Netherlands,0,34,0%,10.35
Germany,0,29,0%,8.97
India,0,28,0%,38.57
Brazil,0,26,0%,12.5
New Zealand,0,23,0%,51.52
South Africa,0,21,0%,33.57
France,0,19,0%,5.47
Mexico,0,16,0%,14.06
Qatar,0,9,0%,53.56
Spain,0,8,0%,7.12
Vietnam,0,8,0%,11.38
China,0,8,0%,11.5
Argentina,0,8,0%,17.88
Japan,0,7,0%,8.29
Ukraine,0,7,0%,8.57
Italy,0,6,0%,6.67
Ireland,0,6,0%,26.5
Morocco,0,6,0%,34.5
Hong Kong,0,6,0%,35.33
Switzerland,0,5,0%,7.4
Taiwan,0,5,0%,9.4
United Arab Emirates,0,5,0%,15.2
Philippines,0,5,0%,30.8
Indonesia,0,4,0%,5.25
South Korea,0,4,0%,7
Pakistan,0,4,0%,17.75
Colombia,0,4,0%,19.5
Bangladesh,0,3,0%,4.67
Uruguay,0,3,0%,5.33
Finland,0,3,0%,6
Israel,0,3,0%,6
Malaysia,0,3,0%,6
Greece,0,3,0%,8
Singapore,0,3,0%,8
Belgium,0,3,0%,10
Dominican Republic,0,3,0%,14
Egypt,0,3,0%,15.33
Bulgaria,0,3,0%,20
Lithuania,0,2,0%,3.5
Albania,0,2,0%,5
Romania,0,2,0%,5.5
Russia,0,2,0%,5.5
Algeria,0,2,0%,6.5
Kazakhstan,0,2,0%,7
Slovenia,0,2,0%,7
Poland,0,2,0%,7.5
Puerto Rico,0,2,0%,8
Sweden,0,2,0%,8
Thailand,0,2,0%,10
Nigeria,0,2,0%,17
Venezuela,0,2,0%,25
Kuwait,0,2,0%,25.5
Jordan,0,2,0%,38
Ecuador,0,2,0%,40.5
Iraq,0,2,0%,61.5
Ghana,0,1,0%,2
Trinidad & Tobago,0,1,0%,2
Tajikistan,0,1,0%,4
Ethiopia,0,1,0%,6
Latvia,0,1,0%,6
El Salvador,0,1,0%,6
Peru,0,1,0%,7
Portugal,0,1,0%,7
Saudi Arabia,0,1,0%,7
Austria,0,1,0%,8
Iran,0,1,0%,8
Chile,0,1,0%,9
Congo - Brazzaville,0,1,0%,9
Denmark,0,1,0%,9
Norway,0,1,0%,9
Oman,0,1,0%,9
Honduras,0,1,0%,10
Slovakia,0,1,0%,10
Armenia,0,1,0%,11
Guam,0,1,0%,11
Palestine,0,1,0%,11
Tunisia,0,1,0%,11
Paraguay,0,1,0%,12
Azerbaijan,0,1,0%,30
Uzbekistan,0,1,0%,38
Panama,0,1,0%,80